,CODIGO_AGENCIA,ID_RUTA,ID_CLIENTE,DESCRIPCION_CLIENTE,ID_RFC_CLIENTE,NOMBRE_TIENDA,ESTADO,CIUDAD,CODIGO_POSTAL,COLONIA,CALLE,NUMERO_EXTERIOR,NUMERO_INTERIOR,FORMA_PAGO,DIAS_CREDITO,ID_LETRA_FACTURACION,ID_TIPO_FISCAL,DIRECCION_FISCAL,POBLACION,CODIGO_CADENA,ID_TIPO_VENTA,CLIENTE_CREDITO,TOPE_DEVOLUCION,TIPO_FACT,TIPO_CLIENTE,REGISTRAR_FOLIO,APLICA_DC,NUMERO_TIENDA,CALLE_CRUZA,IMP_PESITO,VISITAS,ID_TIPO_DOCUMENTO,COMISION_PESITO,MONEDERO,DOCTODIGITAL,CREDITO_PESITO,IMP_PESITO_CLIENTE,TASA_COMISION,QUINCENAL,FACT_DIGITAL,PREIMPRESA,IMP_SE_CLIENTE,LONG_FOLIO_NV,LONG_FOLIO_NC,LEYENDA_CLIENTE_NV,LEYENDA_CLIENTE_NC,PRINT_STAMP
0,20139,1,20984,3832 SP HOMERO,NWM9709244W4,"NUEVA WAL MART DE MEXICO, S. DE R.L. DE C.V.",CIUDAD DE MEXICO,MIGUEL HIDALGO,11580,BOSQUE DE CHAPULTEPEC I SECCION,AVENIDA HOMERO,1311,1,1,23,EEFG,4,AV. NEXTENGO 78 SANTA CRUZ ACAYUCAN DEL AZCAPOTZALCO MEXICO CIUDAD DE MEXICO C.P. 02770,MIGUEL HIDALGO,3,29,1,3.79999995231628,7,0,1,0,3832,FRANCISCO PETRARCA y SCHILLER,0,0,FC,2,0,0,0,1,16,0,1,1,0,10,10,Nota de Venta,Credito digital,1
1,20139,2,23141,6390 SM POLANCO,NWM9709244W4,"NUEVA WAL MART DE MEXICO, S. DE R.L. DE C.V.",CIUDAD DE MEXICO,MIGUEL HIDALGO,11520,GRANADA,AVENIDA EJERCITO NACIONAL,559,1,1,23,EEFG,4,AV. NEXTENGO 78 SANTA CRUZ ACAYUCAN DEL AZCAPOTZALCO MEXICO CIUDAD DE MEXICO C.P. 02770,MIGUEL HIDALGO,5,36,1,3.79999995231628,7,0,1,0,6390,LAGO BANGUEOLO y LAGO TAGAÑICA,0,0,FC,2,0,0,0,1,16,0,1,1,0,10,10,Nota de Venta,Credito digital,1
2,20139,3,1200400,232 CHEDRAUI SELECTO POLANCO,TCH850701RM1,"TIENDAS CHEDRAUI, S.A. DE C.V.",CIUDAD DE MEXICO,MIGUEL HIDALGO,11500,IRRIGACION,AVENIDA MIGUEL DE CERVANTES SAAVEDRA,397,1,1,30,EEFG,4,AV CONSTITUYENTES 1150 LOMAS ALTAS MIGUEL HIDALGO CIUDAD DE MEXICO MEXICO 11950,MIGUEL HIDALGO,1863,25,1,3.79999995231628,1,0,1,0,232,PRESA OVIACHIC y BOULEVARD MIGUEL DE CERVANTES SAA,0,0,FC,2,0,0,0,1,16,0,1,1,0,10,10,Nota de Venta,Credito digital,1
3,20139,6,20983,720 COSTCO POLANCO,CME910715UB9,"COSTCO DE MEXICO, S.A. DE C.V.",CIUDAD DE MEXICO,MIGUEL HIDALGO,11500,IRRIGACION,BOULEVARD MIGUEL DE CERVANTES,397,1,1,21,EEFG,4,"BLVD. MAGNOCENTRO NO.4, COL. SAN FERNANDO LA HERRADURA, HUIXQUILUCAN ESTADO DE MEXICO, MEXICO 52760",MIGUEL HIDALGO,11,39,1,3.79999995231628,7,0,1,0,720,PRESA FALCON y BOULEVARD MIGUEL DE CERVANTES,0,0,FC,2,0,0,0,1,16,0,1,1,0,13,13,Nota de Venta,Credito digital,1
4,20139,8,1685260,277 HIPER SORIANA SAN MATEO,TSO991022PB6,"TIENDAS SORIANA, S.A. DE C.V.",MEXICO,NAUCALPAN DE JUAREZ,53240,JARDINES DE SAN MATEO,ALCANFORES,61,1,1,31,EEFG,4,ALEJANDRO DE RODAS 3102-A COL. LAS CUMBRES 8VO SEC MONTERREY NUEVO LEON C.P. 64610,NAUCALPAN DE JUAREZ,19,41,1,3.79999995231628,7,0,1,0,277,AVENIDA LAS TORRES y BOULEVARD LOS ENCINOS,0,0,FC,2,0,0,0,1,16,0,1,1,0,10,10,Nota de Venta,Credito digital,1
5,20139,9,1188058,236 CHEDRAUI MUNDO E,TCH850701RM1,"TIENDAS CHEDRAUI, S.A. DE C.V.",MEXICO,TLALNEPANTLA DE BAZ,54000,TLALNEPANTLA CENTRO,BOULEVARD MANUEL AVILA CAMACHO,1007,1,1,30,EEFG,4,AV CONSTITUYENTES 1150 LOMAS ALTAS MIGUEL HIDALGO CIUDAD DE MEXICO MEXICO 11950,TLALNEPANTLA DE BAZ,17,25,1,3.79999995231628,7,0,1,0,236,CUAUHTEMOC y BOULEVARD MANUEL AVILA CAMACHO ANILLO,0,0,FC,2,0,0,0,1,16,0,1,1,0,10,10,Nota de Venta,Credito digital,1
6,20139,10,20940,3850 SC ECHEGARAY,NWM9709244W4,"NUEVA WAL MART DE MEXICO, S. DE R.L. DE C.V.",MEXICO,NAUCALPAN DE JUAREZ,53338,SANTA MARIA NATIVITAS,EMILIANO ZAPATA,7,1,1,23,EEFG,4,AV. NEXTENGO 78 SANTA CRUZ ACAYUCAN DEL AZCAPOTZALCO MEXICO CIUDAD DE MEXICO C.P. 02770,NAUCALPAN DE JUAREZ,4,29,1,3.79999995231628,7,0,1,0,3850,CUAUHTEMOC y CUAUHTEMOC,0,0,FC,2,0,0,0,1,16,0,1,1,0,10,10,Nota de Venta,Credito digital,1
7,20139,12,1887411,3025 SP PARQUES POLANCO,NWM9709244W4,"NUEVA WAL MART DE MEXICO, S. DE R.L. DE C.V.",CIUDAD DE MEXICO,MIGUEL HIDALGO,11520,GRANADA,LAGO ALBERTO,321,1,1,23,EEFG,4,AV. NEXTENGO 78 SANTA CRUZ ACAYUCAN DEL AZCAPOTZALCO MEXICO CIUDAD DE MEXICO C.P. 02770,MIGUEL HIDALGO,3,29,1,3.79999995231628,7,0,1,0,3025,MARIANO ESCOBEDO y LAGO MASK,0,0,FC,2,0,0,0,1,16,0,1,1,0,10,10,Nota de Venta,Credito digital,1
8,20139,13,21189,6391 SM SATELITE,NWM9709244W4,"NUEVA WAL MART DE MEXICO, S. DE R.L. DE C.V.",MEXICO,TLALNEPANTLA DE BAZ,54080,VIVEROS DE LA LOMA,BOULEVARD MANUEL AVILA CAMACHO,1900,1,1,23,EEFG,4,AV. NEXTENGO 78 SANTA CRUZ ACAYUCAN DEL AZCAPOTZALCO MEXICO CIUDAD DE MEXICO C.P. 02770,TLALNEPANTLA DE BAZ,5,36,1,3.79999995231628,7,0,1,0,6391,PERIFERICO NORTE y MANUEL AVILA CAMACHO,0,0,FC,2,0,0,0,1,16,0,1,1,0,10,10,Nota de Venta,Credito digital,1
9,20139,14,812389,289 CITY FRESKO SATELITE BOULEVARES,CCF121101KQ4,COMERCIAL CITY FRESKO S DE RL DE CV,MEXICO,NAUCALPAN DE JUAREZ,53100,CIUDAD SATELITE,BOULEVARD MANUEL AVILA CAMACHO,3228,MZ 1,1,21,EEFG,4,AVENIDA INSURGENTES SUR 1517 MODULO 2 SAN JOSE INSURGENTES BENITO JUAREZ CIUDAD DE MEXICO 03900,NAUCALPAN DE JUAREZ,1264,51,1,3.79999995231628,1,0,1,0,289,BOULEVARD SANTA CRUZ y COLINA DE LOS ACONITOS,0,0,FC,2,0,0,0,1,16,0,1,1,0,10,10,Nota de Venta,Credito digital,1
