id,date,prcp,tmin,tmax,tavg,tsun
MXM00076680,2019-01-01,0.0,8.4,24.5,16.6,
MXM00076680,2019-01-02,0.0,7.2,24.9,16.9,
MXM00076680,2019-01-03,,,,15.6,
MXM00076680,2019-01-04,0.0,7.0,23.5,18.2,
MXM00076680,2019-01-05,0.0,7.5,24.0,18.8,
MXM00076680,2019-01-06,0.0,8.6,24.4,17.6,
MXM00076680,2019-01-07,0.0,9.5,24.4,18.9,
MXM00076680,2019-01-08,0.0,7.0,23.5,15.9,
MXM00076680,2019-01-09,0.0,7.0,23.7,15.5,
MXM00076680,2019-01-10,0.0,6.0,21.1,14.4,
MXM00076680,2019-01-11,0.0,,,17.8,
MXM00076680,2019-01-12,0.0,8.8,24.0,16.2,
MXM00076680,2019-01-13,,,,14.6,
MXM00076680,2019-01-14,0.3,4.9,19.1,13.7,
MXM00076680,2019-01-15,2.3,7.5,20.5,14.9,
MXM00076680,2019-01-16,0.0,7.5,21.0,16.1,
MXM00076680,2019-01-17,0.0,9.8,21.6,17.3,
MXM00076680,2019-01-18,,,,17.4,
MXM00076680,2019-01-19,0.0,9.2,24.6,16.4,
MXM00076680,2019-01-20,0.0,8.5,21.6,13.4,
MXM00076680,2019-01-21,0.0,6.4,23.0,18.1,
MXM00076680,2019-01-22,0.0,6.4,25.0,16.2,
MXM00076680,2019-01-23,0.0,6.8,25.4,19.1,
MXM00076680,2019-01-24,0.0,9.2,25.3,17.1,
MXM00076680,2019-01-25,0.0,9.5,26.0,20.7,
MXM00076680,2019-01-26,0.0,9.5,26.6,17.1,
MXM00076680,2019-01-27,0.0,9.6,25.0,16.6,
MXM00076680,2019-01-28,0.0,,,14.3,
MXM00076680,2019-01-29,0.0,6.9,24.2,16.2,
MXM00076680,2019-01-30,0.0,7.6,23.9,14.6,
MXM00076680,2019-02-01,0.0,7.5,24.1,15.9,
MXM00076680,2019-02-02,0.0,7.8,24.6,17.7,
MXM00076680,2019-02-03,0.0,,,17.7,
MXM00076680,2019-02-04,0.0,,,18.7,
MXM00076680,2019-02-05,0.0,10.5,27.4,18.1,
MXM00076680,2019-02-06,0.0,,,21.8,
MXM00076680,2019-02-07,0.0,11.5,28.5,19.3,
MXM00076680,2019-02-08,0.0,10.6,27.7,18.8,
MXM00076680,2019-02-09,0.0,,,14.8,
MXM00076680,2019-02-10,0.0,,,16.8,
MXM00076680,2019-02-11,0.0,9.3,25.5,17.6,
MXM00076680,2019-02-12,0.0,11.6,25.9,18.9,
MXM00076680,2019-02-13,0.0,8.7,21.6,14.9,
MXM00076680,2019-02-14,,,,17.9,
MXM00076680,2019-02-15,0.5,10.5,26.6,20.3,
MXM00076680,2019-02-16,0.0,,,23.1,
MXM00076680,2019-02-17,0.0,12.8,30.2,21.7,
MXM00076680,2019-02-18,0.0,12.6,30.6,23.8,
MXM00076680,2019-02-19,0.0,12.2,30.7,20.3,
MXM00076680,2019-02-20,0.0,10.5,28.0,21.0,
MXM00076680,2019-02-21,0.0,10.5,27.7,19.2,
MXM00076680,2019-02-22,,,,20.7,
MXM00076680,2019-02-23,0.0,11.0,27.1,19.5,
MXM00076680,2019-02-24,0.0,12.0,26.0,19.0,
MXM00076680,2019-02-25,0.0,11.5,24.9,16.2,
MXM00076680,2019-02-26,,,,19.2,
MXM00076680,2019-02-27,0.0,10.6,26.3,18.4,
MXM00076680,2019-02-28,0.0,11.6,27.6,22.4,
MXM00076680,2019-03-01,0.0,12.0,28.7,21.6,
MXM00076680,2019-03-02,0.0,13.0,29.1,22.0,
MXM00076680,2019-03-03,0.0,14.0,29.6,21.8,
MXM00076680,2019-03-04,0.0,13.6,30.4,23.1,
MXM00076680,2019-03-05,0.0,12.6,29.3,19.0,
MXM00076680,2019-03-06,,,,19.3,
MXM00076680,2019-03-07,0.0,,,20.6,
MXM00076680,2019-03-08,0.0,13.0,29.7,22.7,
MXM00076680,2019-03-09,0.0,13.6,28.2,22.3,
MXM00076680,2019-03-11,0.0,15.0,31.6,22.9,
MXM00076680,2019-03-12,0.0,,,26.1,
MXM00076680,2019-03-13,0.0,12.6,30.4,23.5,
MXM00076680,2019-03-14,0.0,12.6,29.9,23.8,
MXM00076680,2019-03-15,0.0,12.6,29.9,22.5,
MXM00076680,2019-03-16,0.0,10.6,28.2,19.6,
MXM00076680,2019-03-17,0.0,10.6,25.6,17.6,
MXM00076680,2019-03-18,0.0,11.4,25.6,20.3,
MXM00076680,2019-03-19,0.5,9.0,25.7,19.9,
MXM00076680,2019-03-20,0.0,9.0,25.5,20.3,
MXM00076680,2019-03-21,0.0,9.6,26.7,17.7,
MXM00076680,2019-03-22,,10.5,23.5,18.7,
MXM00076680,2019-03-23,0.0,10.5,25.6,18.1,
MXM00076680,2019-03-24,0.0,11.0,26.5,21.3,
